,Planned dates,MRP element,Start date,MRP elmnt data,Rescheduling date,Exception,Rec./reqd qty,Avail. quantity,Plng plant,Stor. Loc.,Delivery P,Shipping c
,2022/6/14,PurRqs,2022/6/13,0386413755/00010,,,1,1,701B,1000,,
,2022/6/15,PurRqs,2022/6/14,0386413754/00010,,,1,1,701B,1000,,
,2022/6/28,PurRqs,2022/6/27,0387480602/00010,,,1,1,701B,1000,,
,2022/6/29,PurRqs,2022/6/28,0387480603/00010,,,1,1,701B,1000,,
,2022/6/30,PurRqs,2022/6/29,0386413762/00010,,,1,1,701B,1000,,
,2022/7/12,PurRqs,2022/7/11,0390101574/00010,,,1,1,701B,1000,,
,2022/7/13,PurRqs,2022/7/12,0390101575/00010,,,1,1,701B,1000,,
,2022/7/26,PurRqs,2022/7/25,0386413765/00010,,,1,1,701B,1000,,
,2022/7/27,PurRqs,2022/7/26,0392570867/00010,,,1,1,701B,1000,,
,2022/8/9,PurRqs,2022/8/8,0386413768/00010,,,1,1,701B,1000,,
,2022/8/10,PurRqs,2022/8/9,0394592271/00010,,,1,1,701B,1000,,
,2022/8/23,PurRqs,2022/8/22,0386413770/00010,,,1,1,701B,1000,,
,2022/8/24,PurRqs,2022/8/23,0398299446/00010,,,1,1,701B,1000,,
,2022/9/5,PurRqs,2022/9/2,0386413772/00010,,,1,1,701B,1000,,
,2022/9/6,PurRqs,2022/9/5,0399520144/00010,,,1,1,701B,1000,,
,2022/9/15,PurRqs,2022/9/14,0386413773/00010,,,1,1,701B,1000,,
,2022/9/16,PurRqs,2022/9/15,0403804011/00010,,,1,1,701B,1000,,
,2022/9/29,PurRqs,2022/9/28,0386413775/00010,,,1,1,701B,1000,,
,2022/9/30,PurRqs,2022/9/29,0405367334/00010,,,1,1,701B,1000,,
,2022/10/18,PurRqs,2022/10/17,0386413777/00010,,,1,1,701B,1000,,
,2022/10/19,PurRqs,2022/10/18,0409809266/00010,,,1,1,701B,1000,,
,2022/11/1,PurRqs,2022/10/31,0386413779/00010,,,2,2,701B,1000,,
,2022/11/15,PurRqs,2022/11/14,0386413781/00010,,,2,2,701B,1000,,
,2022/11/29,PurRqs,2022/11/28,0386413783/00010,,,2,2,701B,1000,,
,2022/12/13,PurRqs,2022/12/12,0386413784/00010,,,4,4,701B,1000,,
,2022/12/20,PurRqs,2022/12/19,0386413785/00010,,,4,4,701B,1000,,
,2022/12/27,PurRqs,2022/12/26,0386413786/00010,,,4,4,701B,1000,,
,2023/1/10,PurRqs,2023/1/9,0386413787/00010,,,4,4,701B,1000,,
,2023/1/17,PurRqs,2023/1/16,0386413788/00010,,,4,4,701B,1000,,
,2023/1/24,PurRqs,2023/1/23,0386413789/00010,,,6,6,701B,1000,,
,2023/1/31,PurRqs,2023/1/30,0386413790/00010,,,6,6,701B,1000,,
,2023/2/7,PurRqs,2023/2/6,0386413791/00010,,,6,6,701B,1000,,
,2023/2/14,PurRqs,2023/2/13,0386413792/00010,,,6,6,701B,1000,,
,2023/2/21,PurRqs,2023/2/20,0386413793/00010,,,6,6,701B,1000,,
,2023/2/28,PurRqs,2023/2/27,0386413794/00010,,,6,6,701B,1000,,
,2023/3/7,PurRqs,2023/3/6,0386413795/00010,,,6,6,701B,1000,,
,2023/3/14,PurRqs,2023/3/13,0386413796/00010,,,6,6,701B,1000,,
,2023/3/21,PurRqs,2023/3/20,0386413797/00010,,,6,6,701B,1000,,
,2023/3/28,PurRqs,2023/3/27,0386413798/00010,,,6,6,701B,1000,,
,2023/4/4,PurRqs,2023/4/3,0386413799/00010,,,6,6,701B,1000,,
,2023/4/11,PurRqs,2023/4/10,0386413800/00010,,,6,6,701B,1000,,
,2023/4/18,PurRqs,2023/4/17,0386413801/00010,,,6,6,701B,1000,,
,2023/4/25,PurRqs,2023/4/24,0386413802/00010,,,6,6,701B,1000,,
,2023/5/2,PurRqs,2023/5/1,0386413803/00010,,,6,6,701B,1000,,
,2023/5/9,PurRqs,2023/5/8,0386413804/00010,,,6,6,701B,1000,,
,2023/5/16,PurRqs,2023/5/15,0386413805/00010,,,6,6,701B,1000,,
,2023/5/23,PurRqs,2023/5/22,0386413806/00010,,,5,5,701B,1000,,
,2023/5/30,PurRqs,2023/5/29,0386413807/00010,,,5,5,701B,1000,,
,2023/6/6,PurRqs,2023/6/5,0386413808/00010,,,5,5,701B,1000,,
,2023/6/13,PurRqs,2023/6/12,0386413809/00010,,,5,5,701B,1000,,
,2023/6/20,PurRqs,2023/6/19,0386413810/00010,,,5,5,701B,1000,,
,2023/6/27,PurRqs,2023/6/26,0386413811/00010,,,5,5,701B,1000,,
,2023/7/4,PurRqs,2023/7/3,0386413812/00010,,,5,5,701B,1000,,
,2023/7/11,PurRqs,2023/7/10,0386413813/00010,,,5,5,701B,1000,,
,2023/7/18,PurRqs,2023/7/17,0386413814/00010,,,5,5,701B,1000,,
,2023/7/25,PurRqs,2023/7/24,0386413815/00010,,,5,5,701B,1000,,
,2023/8/1,PurRqs,2023/7/31,0386413816/00010,,,5,5,701B,1000,,
,2023/8/8,PurRqs,2023/8/7,0386413817/00010,,,4,4,701B,1000,,
,2023/8/15,PurRqs,2023/8/14,0386413818/00010,,,4,4,701B,1000,,
,2023/8/22,PurRqs,2023/8/21,0386413819/00010,,,4,4,701B,1000,,
,2023/8/29,PurRqs,2023/8/28,0386413820/00010,,,4,4,701B,1000,,
,2023/9/5,PurRqs,2023/9/4,0386413821/00010,,,4,4,701B,1000,,
,2023/9/19,PurRqs,2023/9/18,0386413822/00010,,,4,4,701B,1000,,
,2023/9/26,PurRqs,2023/9/25,0386413823/00010,,,4,4,701B,1000,,
,2023/10/3,PurRqs,2023/10/2,0386413824/00010,,,4,4,701B,1000,,
,2023/10/10,PurRqs,2023/10/9,0386413825/00010,,,4,4,701B,1000,,
,2023/10/17,PurRqs,2023/10/16,0386413826/00010,,,4,4,701B,1000,,
,2023/10/24,PurRqs,2023/10/23,0386413827/00010,,,4,4,701B,1000,,
,2023/10/31,PurRqs,2023/10/30,0386413828/00010,,,4,4,701B,1000,,
,2023/11/7,PurRqs,2023/11/6,0386413829/00010,,,4,4,701B,1000,,
,2023/11/14,PurRqs,2023/11/13,0386413830/00010,,,4,4,701B,1000,,
,2023/11/21,PurRqs,2023/11/20,0386413831/00010,,,4,4,701B,1000,,
,2023/11/28,PurRqs,2023/11/27,0387480605/00010,,,4,4,701B,1000,,
,2023/12/11,PurRqs,2023/12/8,0399520145/00010,,,4,4,701B,1000,,
,2023/12/18,PurRqs,2023/12/15,0399520146/00010,,,5,5,701B,1000,,
,2023/12/26,PurRqs,2023/12/22,0399520147/00010,,,4,4,701B,1000,,
,2024/1/2,PurRqs,2024/1/1,0399520148/00010,,,5,5,701B,1000,,
,2024/1/9,PurRqs,2024/1/8,0399520149/00010,,,4,4,701B,1000,,
,2024/1/23,PurRqs,2024/1/22,0399520150/00010,,,5,5,701B,1000,,
,2024/1/30,PurRqs,2024/1/29,0399520151/00010,,,4,4,701B,1000,,
,2024/2/6,PurRqs,2024/2/5,0401089566/00010,,,5,5,701B,1000,,
,2024/2/13,PurRqs,2024/2/12,0402399301/00010,,,4,4,701B,1000,,
,2024/2/20,PurRqs,2024/2/19,0403804015/00010,,,5,5,701B,1000,,
,2024/2/27,PurRqs,2024/2/26,0405367335/00010,,,4,4,701B,1000,,
,2024/3/5,PurRqs,2024/3/4,0386413782/00010,,,5,5,701B,1000,,
